RUN_ID,INVOICE_UUID,DOCUMENT_NAME,chunk_id,chunk_type,text,page,box_l,box_t,box_r,box_b
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,91a9fca9-fe21-4cbb-9564-f42f8d5c5d97,logo,"<a id='91a9fca9-fe21-4cbb-9564-f42f8d5c5d97'></a>

<::logo: Freshworks
freshworks
A stylized leaf-like symbol composed of multiple facets in shades of gray.::>",0,0.08743181824684143,0.033484891057014465,0.44194576144218445,0.096154123544693
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,aa7a2b51-6d87-48d0-a809-bb6a948a707f,text,"<a id='aa7a2b51-6d87-48d0-a809-bb6a948a707f'></a>

Freshworks Inc., (formerly known as Freshdesk Inc.)
2950 S. Delaware St,
Suite 201, San Mateo, CA 94403,
U.S.A.
Phone: +1 (866) 832 3090
Tax ID: 33-1218825
Tax Reg #: 33-1218825",0,0.08651575446128845,0.10671643912792206,0.4332708418369293,0.21089597046375275
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,69b3493a-bbb7-4e13-8923-968322bbee95,text,"<a id='69b3493a-bbb7-4e13-8923-968322bbee95'></a>

INVOICE

Invoice #: FCL233308
Invoice Date: May 26, 2021
Invoice Amount: $10.00 (USD)
Payment Terms: Due Upon Receipt
PAID",0,0.5961894392967224,0.03922150284051895,0.8421856760978699,0.19167819619178772
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,30d86071-0659-4537-bdce-7486b4093fa4,text,"<a id='30d86071-0659-4537-bdce-7486b4093fa4'></a>

BILLED TO
Leo Charles Vincent
abaxystech
1061 Midvale Ave
Morrsiville, North Carolina 27560
United States",0,0.08736848086118698,0.23484545946121216,0.3143427073955536,0.3217448592185974
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,8ead2ed5-e678-48a9-b6a6-b639adf25234,text,"<a id='8ead2ed5-e678-48a9-b6a6-b639adf25234'></a>

SUBSCRIPTION
Billing Period May 26 to May 26, 2021",0,0.59776771068573,0.23522764444351196,0.8604755401611328,0.2687315344810486
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,e321a4b7-dbab-4c7e-b2e0-0484c659c3fb,table,"<a id='e321a4b7-dbab-4c7e-b2e0-0484c659c3fb'></a>

<table id=""0-1"">
<tr><td id=""0-2"">DESCRIPTION</td><td id=""0-3"">UNITS</td><td id=""0-4"">UNIT PRICE</td><td id=""0-5"">AMOUNT (USD)</td></tr>
<tr><td id=""0-6"">Freshcaller Phone Credits</td><td id=""0-7"">10</td><td id=""0-8"">$1.00</td><td id=""0-9"">$10.00</td></tr>
<tr><td id=""0-a""></td><td id=""0-b""></td><td id=""0-c"">Total</td><td id=""0-d"">$10.00</td></tr>
<tr><td id=""0-e""></td><td id=""0-f""></td><td id=""0-g"">Payments</td><td id=""0-h"">($10.00)</td></tr>
<tr><td id=""0-i""></td><td id=""0-j"" colspan=""2"">Amount Due (USD)</td><td id=""0-k"">$0.00</td></tr>
</table>",0,0.08666667342185974,0.3424803912639618,0.9102663993835449,0.5344086289405823
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,0c6a415e-16ec-4cd3-9fe6-8e3584eef8dd,text,"<a id='0c6a415e-16ec-4cd3-9fe6-8e3584eef8dd'></a>

PAYMENTS

**$10.00** was paid on 26 May, 2021 11:49 PDT by Visa card ending 2136.",0,0.08779513835906982,0.5478050708770752,0.5508441925048828,0.5945142507553101
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,bfe94130-96cf-4d5d-89d2-96c292be8bd7,text,"<a id='bfe94130-96cf-4d5d-89d2-96c292be8bd7'></a>

NOTES
---
Please always include your invoice number when making any payment!",0,0.08871494233608246,0.6159620881080627,0.5692809820175171,0.6606581807136536
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,58fc33a6-bbf7-41b6-91fc-55262dcd469c,text,"<a id='58fc33a6-bbf7-41b6-91fc-55262dcd469c'></a>

**Reference to our Bank details:**

Click the appropriate currency below to view our respective Bank account details for payment processing.

AUD EUR GBP USD",0,0.08950304985046387,0.6689214110374451,0.7812685966491699,0.7406542897224426
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,47858450-b707-41d4-a945-485f328f9b6b,text,"<a id='47858450-b707-41d4-a945-485f328f9b6b'></a>

**For Check Payments (US Customers Only)**

E-checks: Freshworks Inc, Dept LA 24888, Pasadena CA 91185-4888.

Physical checks: Freshworks Inc., 24888, 14005 Live Oak Ave, Irwindale CA 91706-1300.

**Other Payment Methods**: PayPal ID: paypal@freshdesk.com (USD Only)

For questions/concerning regarding this invoice, please contact billing@freshworks.com

Click this link to download the W9 certificate",0,0.08868715167045593,0.7489556074142456,0.6722677946090698,0.8998996019363403
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,960d63e5-ea32-4c17-b4b7-56eeaee689f5,table,"<a id='960d63e5-ea32-4c17-b4b7-56eeaee689f5'></a>

<table id=""0-1"">
<tr><td id=""0-2"" colspan=""3"">Tata Invoice</td></tr>
<tr><td id=""0-3"" rowspan=""3"">Variant Technologies Sgar Complex, Off No. 19 A Tower, Near Nashik Phata Kasarwadi. Pune - 411034 E-Mail : sales@vtechpune.co.in</td><td id=""0-4"">Invoice No: 2014/00355</td><td id=""0-5"">Dated 10-Dec-14</td></tr>
<tr><td id=""0-6"">Delivery Note By Road</td><td id=""0-7"">Mode/Terms Of Payment 100% Against receipt of Material</td></tr>
<tr><td id=""0-8"" rowspan=""2"">Buyers Order No.</td><td id=""0-9"" rowspan=""2"">PO Dated</td></tr>
<tr><td id=""0-a"" rowspan=""2"">Buyer Sandip Patil Ambegaon Bk, Pune</td></tr>
<tr><td id=""0-b"" colspan=""2"">Terms Of Delivery Delivared at Place</td></tr>
</table>",0,0.07401201128959656,0.05636787414550781,0.9164379835128784,0.35451340675354004
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,cf06c5a8-8b3c-4559-9c70-22706f39a0ad,table,"<a id='cf06c5a8-8b3c-4559-9c70-22706f39a0ad'></a>

<table id=""0-c"">
<tr><td id=""0-d"">SrNo</td><td id=""0-e"">Description of Goods</td><td id=""0-f"">Part No</td><td id=""0-g"">Qty</td><td id=""0-h"">VAT</td><td id=""0-i"">Rate</td><td id=""0-j"">Amount</td></tr>
<tr><td id=""0-k"">1</td><td id=""0-l"">Tata Photon 3G Plan 750@7GB</td><td id=""0-m""></td><td id=""0-n"">1</td><td id=""0-o""></td><td id=""0-p"">2800.00</td><td id=""0-q"">2800.00</td></tr>
<tr><td id=""0-r""></td><td id=""0-s"">Sub Total</td><td id=""0-t""></td><td id=""0-u""></td><td id=""0-v""></td><td id=""0-w""></td><td id=""0-x"">2800.00</td></tr>
<tr><td id=""0-y""></td><td id=""0-z""></td><td id=""0-A""></td><td id=""0-B""></td><td id=""0-C""></td><td id=""0-D""></td><td id=""0-E""></td></tr>
<tr><td id=""0-F""></td><td id=""0-G"">Total</td><td id=""0-H""></td><td id=""0-I""></td><td id=""0-J""></td><td id=""0-K"" colspan=""2"">2800.00</td></tr>
</table>",0,0.07360115647315979,0.34660741686820984,0.9162291288375854,0.7674177885055542
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,6f96ffad-caa9-4410-8969-86963766fbee,text,"<a id='6f96ffad-caa9-4410-8969-86963766fbee'></a>

Amount Chargeable(in words)
Rs. Two Thousand Eight Hundred Only.

Declaration
We declare that this invoice shows the actual price of the
goods described and that all particulars are true",0,0.07496252655982971,0.7598319053649902,0.5906327962875366,0.9222245216369629
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,17fdb831-0a57-4193-a6b7-6441fd8dea21,attestation,"<a id='17fdb831-0a57-4193-a6b7-6441fd8dea21'></a>

<::attestation: Signature and Official Stamp
Signed, Stamped
Signature: illegible
For Variant Technologies
Variant Technologies
VT
+91 20 46700005
M +91 95-60000000
www.vtechpune.co.in
Pune-34
A handwritten signature is placed above the text ""For Variant Technologies"", with a circular company stamp overlapping the signature and text, positioned on the right side of the signature.::>",0,0.583089292049408,0.7877967357635498,0.9134795069694519,0.9237267971038818
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,bb758d6b-5a2b-48b6-8921-c807f0340198,attestation,"<a id='bb758d6b-5a2b-48b6-8921-c807f0340198'></a>

<::attestation: Official Stamp
Stamped
Variant Technologies
VT.tech
T +91 20 46700305
M +91 98-60000800
Pune-34
web: www.vttechpune.co.in
A circular blue ink stamp with company name, logo, contact details, and address, centrally located in the image.
::>",0,0.737311840057373,0.7924855351448059,0.8757553100585938,0.8771019577980042
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,d1830a26-9b9b-4b36-91b5-ee8ade362d6f,marginalia,"<a id='d1830a26-9b9b-4b36-91b5-ee8ade362d6f'></a>

This is a Computer Generated Invoice",0,0.409298837184906,0.918374240398407,0.6812650561332703,0.9353894591331482
ab51eee8-43ab-4c60-974f-d37043e93f76,74954e69-8064-4966-a0cc-d4111458af17,invoice_8.PDF,a24acd30-2126-4953-854b-b4d9635480ea,text,"<a id='a24acd30-2126-4953-854b-b4d9635480ea'></a>

INVOICE",0,0.648505687713623,0.05987708270549774,0.8924366235733032,0.0993993878364563
